time_s,conductivity,motor1_proportion,motor1_speed,motor2_speed
7.2163,2446.000000,0.983667,2951.0000,0.0000
7.2654,2460.000000,0.990000,2970.0000,0.0000
7.3156,2474.000000,0.996000,2988.0000,0.0000
7.3663,2570.000000,0.000000,0.0000,0.0000
7.4176,2502.000000,0.000000,0.0000,0.0000
7.4654,2502.000000,0.000000,0.0000,0.0000
7.5165,2476.000000,0.000000,0.0000,0.0000
7.5654,2468.000000,0.000000,0.0000,0.0000
7.6188,2476.000000,0.000000,0.0000,0.0000
7.6656,2474.000000,0.000000,0.0000,0.0000
7.7154,2486.000000,0.000000,0.0000,0.0000
7.7654,2486.000000,0.000000,0.0000,0.0000
7.8154,2468.000000,0.000000,0.0000,0.0000
7.8656,2480.000000,0.000000,0.0000,0.0000
7.9153,2490.000000,0.000000,0.0000,0.0000
7.9659,2490.000000,0.000000,0.0000,0.0000
8.0158,2476.000000,0.000000,0.0000,0.0000
8.0656,2476.000000,0.000000,0.0000,0.0000
8.1174,2474.000000,0.000000,0.0000,0.0000
8.1659,2474.000000,0.000000,0.0000,0.0000
8.2158,2474.000000,0.000000,0.0000,0.0000
8.2661,2466.000000,0.000000,0.0000,0.0000
8.3158,2490.000000,0.000000,0.0000,0.0000
8.3658,2490.000000,0.000000,0.0000,0.0000
8.4159,2474.000000,0.000000,0.0000,0.0000
8.4657,2468.000000,0.000000,0.0000,0.0000
8.5158,2466.000000,0.000000,0.0000,0.0000
8.5670,2474.000000,0.000000,0.0000,0.0000
8.6161,2474.000000,0.000000,0.0000,0.0000
8.6653,2474.000000,0.000000,0.0000,0.0000
8.7208,2476.000000,0.000000,0.0000,0.0000
8.7654,2474.000000,0.000000,0.0000,0.0000
8.8154,2486.000000,0.000000,0.0000,0.0000
8.8657,2474.000000,0.000000,0.0000,0.0000
8.9157,2474.000000,0.000000,0.0000,0.0000
8.9659,2474.000000,0.000000,0.0000,0.0000
9.0157,2476.000000,0.000000,0.0000,0.0000
9.0657,2466.000000,0.000000,0.0000,0.0000
9.1158,24.000000,0.000000,0.0000,0.0000
9.1661,2474.000000,0.000000,0.0000,0.0000
